GISJOIN,STATE,COUNTY,TRACT,BLKGRP,TOTAL_POP,WHITE_POP,WHITE_PERCENTAGE,BIPOC_POP,INCOME,MAJ_BIPOC,MAJ_LOW_INCOME,LON,LAT
G13008900201001,Georgia,DeKalb County,20100,1,1997,1717,0.859789685,280,170096,0,0,-84.34432058,33.79894006
G13008900202001,Georgia,DeKalb County,20200,1,595,525,0.882352941,70,106023,0,0,-84.33722024,33.77550694
G13008900202002,Georgia,DeKalb County,20200,2,1286,901,0.700622084,385,80735,0,0,-84.34629134,33.77580306
G13008900203001,Georgia,DeKalb County,20300,1,1028,917,0.892023346,111,133289,0,0,-84.32960787,33.76826553
G13008900203002,Georgia,DeKalb County,20300,2,969,890,0.918472652,79,163571,0,0,-84.33612981,33.76690343
G13008900203003,Georgia,DeKalb County,20300,3,2479,2121,0.85558693,358,146417,0,0,-84.32454787,33.76397423
G13008900204001,Georgia,DeKalb County,20400,1,1738,1484,0.853855006,254,87409,0,0,-84.34415985,33.7680401
G13008900204002,Georgia,DeKalb County,20400,2,963,807,0.838006231,156,141346,0,0,-84.34462419,33.76294603
G13008900205001,Georgia,DeKalb County,20500,1,1372,601,0.438046647,771,51786,1,1,-84.34542141,33.75643208
G13008900205002,Georgia,DeKalb County,20500,2,1789,909,0.508105087,880,83988,0,0,-84.33918407,33.75024145
G13008900206001,Georgia,DeKalb County,20600,1,761,171,0.224704336,590,38393,1,1,-84.3402648,33.75759691
G13008900206002,Georgia,DeKalb County,20600,2,1289,641,0.497284717,648,86333,1,0,-84.33403854,33.75762445
G13008900207001,Georgia,DeKalb County,20700,1,1704,1124,0.659624413,580,100000,0,0,-84.32607336,33.75311408
G13008900207002,Georgia,DeKalb County,20700,2,930,544,0.584946237,386,91136,0,0,-84.32164583,33.75629248
G13008900208011,Georgia,DeKalb County,20801,1,1203,748,0.621778886,455,93176,0,0,-84.31630497,33.75170605
G13008900208012,Georgia,DeKalb County,20801,2,1306,852,0.65237366,454,119167,0,0,-84.3161429,33.75980393
G13008900208021,Georgia,DeKalb County,20802,1,950,503,0.529473684,447,130875,0,0,-84.29784366,33.74926362
G13008900208022,Georgia,DeKalb County,20802,2,1710,401,0.234502924,1309,29063,1,1,-84.3106908,33.74591972
G13008900208023,Georgia,DeKalb County,20802,3,663,548,0.826546003,115,138304,0,0,-84.29848073,33.75269026
G13008900208024,Georgia,DeKalb County,20802,4,1088,262,0.240808824,826,81932,1,0,-84.29707271,33.74378216
G13008900209001,Georgia,DeKalb County,20900,1,1616,849,0.525371287,767,67829,0,0,-84.33866304,33.74373105
G13008900209002,Georgia,DeKalb County,20900,2,1464,892,0.609289617,572,103838,0,0,-84.34454224,33.73546268
G13008900209003,Georgia,DeKalb County,20900,3,1727,724,0.419224088,1003,72500,1,0,-84.33407117,33.7355771
G13008900209004,Georgia,DeKalb County,20900,4,1120,490,0.4375,630,54750,1,1,-84.32941286,33.72617118
G13008900211011,Georgia,DeKalb County,21101,1,3927,3053,0.777438248,874,166563,0,0,-84.33787513,33.88813928
G13008900211021,Georgia,DeKalb County,21102,1,395,371,0.939240506,24,111518,0,0,-84.33575529,33.87181175
G13008900211022,Georgia,DeKalb County,21102,2,2819,2302,0.816601632,517,119792,0,0,-84.34272834,33.87369968
G13008900211023,Georgia,DeKalb County,21102,3,1472,815,0.553668478,657,160386,0,0,-84.33298732,33.87684801
G13008900211024,Georgia,DeKalb County,21102,4,1847,1395,0.755278831,452,87109,0,0,-84.34340627,33.86235057
G13008900212021,Georgia,DeKalb County,21202,1,3858,2478,0.642301711,1380,105423,0,0,-84.31606406,33.90957736
G13008900212022,Georgia,DeKalb County,21202,2,2499,2064,0.825930372,435,114977,0,0,-84.32598626,33.91479522
G13008900212023,Georgia,DeKalb County,21202,3,2703,2211,0.817980022,492,171750,0,0,-84.34092315,33.90753438
G13008900212041,Georgia,DeKalb County,21204,1,1155,11,0.00952381,1144,26083,1,1,-84.29119506,33.88848235
G13008900212042,Georgia,DeKalb County,21204,2,1234,0,0,1234,27583,1,1,-84.29122401,33.89339084
G13008900212043,Georgia,DeKalb County,21204,3,613,103,0.168026101,510,42935,1,1,-84.30116465,33.8793214
G13008900212081,Georgia,DeKalb County,21208,1,2755,1654,0.600362976,1101,72237,0,0,-84.30291953,33.89696564
G13008900212082,Georgia,DeKalb County,21208,2,1482,1148,0.77462888,334,78654,0,0,-84.3053061,33.91045827
G13008900212091,Georgia,DeKalb County,21209,1,1549,1279,0.825693996,270,101685,0,0,-84.31056064,33.89482328
G13008900212092,Georgia,DeKalb County,21209,2,1591,928,0.583280955,663,60325,0,1,-84.33533988,33.89748277
G13008900212093,Georgia,DeKalb County,21209,3,2748,1589,0.578238719,1159,55750,0,1,-84.32066831,33.88932368
G13008900212094,Georgia,DeKalb County,21209,4,905,672,0.742541436,233,102730,0,0,-84.32408389,33.89915107
G13008900212101,Georgia,DeKalb County,21210,1,2345,2063,0.879744136,282,167609,0,0,-84.32260711,33.94197249
G13008900212102,Georgia,DeKalb County,21210,2,959,906,0.944734098,53,135813,0,0,-84.29966029,33.9487817
G13008900212103,Georgia,DeKalb County,21210,3,2447,2013,0.822639967,434,188162,0,0,-84.30918771,33.94226632
G13008900212111,Georgia,DeKalb County,21211,1,1504,1264,0.840425532,240,85250,0,0,-84.29276944,33.95454098
G13008900212112,Georgia,DeKalb County,21211,2,1889,1128,0.597141345,761,101506,0,0,-84.27646662,33.94767529
G13008900212113,Georgia,DeKalb County,21211,3,1672,1427,0.8534689,245,138355,0,0,-84.28823872,33.94515415
G13008900212131,Georgia,DeKalb County,21213,1,1366,1103,0.807467057,263,140294,0,0,-84.34153341,33.96215649
G13008900212132,Georgia,DeKalb County,21213,2,2160,1955,0.905092593,205,179271,0,0,-84.34282472,33.9493779
G13008900212141,Georgia,DeKalb County,21214,1,1850,1540,0.832432432,310,185170,0,0,-84.33052948,33.95512245
G13008900212142,Georgia,DeKalb County,21214,2,2844,2484,0.873417722,360,206310,0,0,-84.31533041,33.95779253
G13008900212143,Georgia,DeKalb County,21214,3,1512,1230,0.813492063,282,132647,0,0,-84.33042238,33.96565179
G13008900212151,Georgia,DeKalb County,21215,1,3960,1152,0.290909091,2808,100424,1,0,-84.34272047,33.92873822
G13008900212152,Georgia,DeKalb County,21215,2,2590,760,0.293436293,1830,97014,1,0,-84.33376677,33.94030326
G13008900212161,Georgia,DeKalb County,21216,1,1397,1260,0.901932713,137,207366,0,0,-84.32130863,33.93031867
G13008900212162,Georgia,DeKalb County,21216,2,4229,1917,0.453298652,2312,81109,1,0,-84.32973573,33.92999009
G13008900212163,Georgia,DeKalb County,21216,3,2348,845,0.35988075,1503,89189,1,0,-84.32957466,33.92315157
G13008900212171,Georgia,DeKalb County,21217,1,2609,1710,0.655423534,899,106216,0,0,-84.28992754,33.928224
G13008900212181,Georgia,DeKalb County,21218,1,1758,494,0.281001138,1264,66394,1,0,-84.30650874,33.92576667
G13008900212182,Georgia,DeKalb County,21218,2,2938,1179,0.401293397,1759,60538,1,1,-84.31066277,33.92539716
G13008900212183,Georgia,DeKalb County,21218,3,1375,712,0.517818182,663,51667,0,1,-84.29992131,33.92957076
G13008900213011,Georgia,DeKalb County,21301,1,896,251,0.280133929,645,68636,1,0,-84.28655022,33.90319061
G13008900213012,Georgia,DeKalb County,21301,2,2921,754,0.258130777,2167,42308,1,1,-84.29496493,33.91458367
G13008900213031,Georgia,DeKalb County,21303,1,2641,523,0.198031049,2118,38378,1,1,-84.25895066,33.90953572
G13008900213032,Georgia,DeKalb County,21303,2,1138,182,0.159929701,956,56667,1,1,-84.25228384,33.90354829
G13008900213033,Georgia,DeKalb County,21303,3,2090,14,0.006698565,2076,41010,1,1,-84.26360183,33.89942191
G13008900213051,Georgia,DeKalb County,21305,1,1069,742,0.694106642,327,82946,0,0,-84.27872443,33.93630783
G13008900213052,Georgia,DeKalb County,21305,2,3901,776,0.198923353,3125,47417,1,1,-84.27407286,33.93113156
G13008900213061,Georgia,DeKalb County,21306,1,2945,609,0.206791171,2336,54625,1,1,-84.27620217,33.91437746
G13008900213062,Georgia,DeKalb County,21306,2,654,327,0.5,327,79300,0,0,-84.27369492,33.9227985
G13008900213063,Georgia,DeKalb County,21306,3,1474,200,0.13568521,1274,39280,1,1,-84.2661206,33.92368446
G13008900213071,Georgia,DeKalb County,21307,1,1347,567,0.420935412,780,59063,1,1,-84.28062261,33.89145292
G13008900213072,Georgia,DeKalb County,21307,2,2838,637,0.224453841,2201,49483,1,1,-84.27166982,33.89080239
G13008900213081,Georgia,DeKalb County,21308,1,2116,604,0.285444234,1512,64886,1,0,-84.28195406,33.874084
G13008900213082,Georgia,DeKalb County,21308,2,613,158,0.257748777,455,45179,1,1,-84.28380671,33.88019145
G13008900213083,Georgia,DeKalb County,21308,3,1662,312,0.187725632,1350,43259,1,1,-84.29092081,33.87594215
G13008900214051,Georgia,DeKalb County,21405,1,1152,990,0.859375,162,171708,0,0,-84.31956952,33.85959039
G13008900214052,Georgia,DeKalb County,21405,2,1780,1124,0.631460674,656,96150,0,0,-84.3385525,33.85578648
G13008900214053,Georgia,DeKalb County,21405,3,1667,1501,0.900419916,166,142083,0,0,-84.32990178,33.85578295
G13008900214091,Georgia,DeKalb County,21409,1,2772,310,0.111832612,2462,51064,1,1,-84.29829852,33.85701323
G13008900214092,Georgia,DeKalb County,21409,2,1158,73,0.063039724,1085,49453,1,1,-84.29273926,33.8659266
G13008900214101,Georgia,DeKalb County,21410,1,1512,697,0.460978836,815,78750,1,0,-84.3049983,33.86033694
G13008900214102,Georgia,DeKalb County,21410,2,2572,95,0.036936236,2477,42601,1,1,-84.29770034,33.86427555
G13008900214103,Georgia,DeKalb County,21410,3,1359,907,0.667402502,452,75125,0,0,-84.30934839,33.84936233
G13008900214111,Georgia,DeKalb County,21411,1,2140,1632,0.762616822,508,106736,0,0,-84.3320566,33.86564016
G13008900214112,Georgia,DeKalb County,21411,2,1102,862,0.782214156,240,75000,0,0,-84.32626069,33.86804135
G13008900214121,Georgia,DeKalb County,21412,1,1378,1168,0.847605225,210,123051,0,0,-84.31413846,33.87792622
G13008900214122,Georgia,DeKalb County,21412,2,1374,949,0.690684134,425,105549,0,0,-84.31153302,33.86581238
G13008900214123,Georgia,DeKalb County,21412,3,1012,934,0.922924901,78,147813,0,0,-84.32058572,33.87061391
G13008900214131,Georgia,DeKalb County,21413,1,3015,585,0.194029851,2430,48822,1,1,-84.32414014,33.85176145
G13008900214132,Georgia,DeKalb County,21413,2,1066,63,0.059099437,1003,38990,1,1,-84.31960854,33.85251505
G13008900214141,Georgia,DeKalb County,21414,1,2475,400,0.161616162,2075,42014,1,1,-84.31698986,33.85033438
G13008900214142,Georgia,DeKalb County,21414,2,1681,357,0.212373587,1324,63100,1,0,-84.31977847,33.84380623
G13008900214151,Georgia,DeKalb County,21415,1,986,809,0.820486815,177,144167,0,0,-84.34225237,33.85004684
G13008900214152,Georgia,DeKalb County,21415,2,1307,992,0.758990054,315,99250,0,0,-84.34505745,33.84453112
G13008900214153,Georgia,DeKalb County,21415,3,1394,775,0.555954089,619,111875,0,0,-84.34444623,33.83258591
G13008900214161,Georgia,DeKalb County,21416,1,1496,329,0.219919786,1167,71964,1,0,-84.33066867,33.8459019
G13008900214162,Georgia,DeKalb County,21416,2,802,759,0.94638404,43,143333,0,0,-84.33620974,33.84828785
G13008900214171,Georgia,DeKalb County,21417,1,1548,677,0.437338501,871,60496,1,1,-84.33986054,33.83878938
G13008900214172,Georgia,DeKalb County,21417,2,1430,289,0.202097902,1141,70500,1,0,-84.32950566,33.83821907
G13008900214173,Georgia,DeKalb County,21417,3,3215,75,0.023328149,3140,50728,1,1,-84.33487719,33.84148707
G13008900215021,Georgia,DeKalb County,21502,1,1851,1069,0.577525662,782,72636,0,0,-84.33994196,33.82670325
G13008900215022,Georgia,DeKalb County,21502,2,788,665,0.843908629,123,145192,0,0,-84.34040561,33.8196709
G13008900215023,Georgia,DeKalb County,21502,3,1658,1230,0.74185766,428,50625,0,1,-84.34175374,33.810478
G13008900215031,Georgia,DeKalb County,21503,1,1475,1038,0.703728814,437,54148,0,1,-84.32888486,33.81970593
G13008900215032,Georgia,DeKalb County,21503,2,1416,1313,0.927259887,103,85250,0,0,-84.31887152,33.81973791
G13008900215033,Georgia,DeKalb County,21503,3,1047,283,0.270296084,764,29000,1,1,-84.32811736,33.82478612
G13008900215041,Georgia,DeKalb County,21504,1,1444,1085,0.751385042,359,77907,0,0,-84.32965916,33.81419856
