GISJOIN,STATE,COUNTY,TRACT,BLKGRP,TOTAL_POP,WHITE_POP,WHITE_PERCENTAGE,BIPOC_POP,INCOME,MAJ_BIPOC,MAJ_LOW_INCOME,LON,LAT
G01009700002001,Alabama,Mobile County,200,1,1306,735,0.562787136,571,40000,0,1,-88.04802231,30.69111079
G01009700004011,Alabama,Mobile County,401,1,3,0,0,3,21970.33333,1,1,-88.0565931,30.70321962
G01009700004012,Alabama,Mobile County,401,2,393,0,0,393,19389,1,1,-88.05795743,30.69509456
G01009700004013,Alabama,Mobile County,401,3,282,0,0,282,19219,1,1,-88.0626077,30.69578019
G01009700004014,Alabama,Mobile County,401,4,440,0,0,440,27303,1,1,-88.06068928,30.70100754
G01009700004021,Alabama,Mobile County,402,1,824,0,0,824,18224,1,1,-88.05213797,30.70432063
G01009700005001,Alabama,Mobile County,500,1,1000,5,0.005,995,22656,1,1,-88.06630264,30.70678082
G01009700005002,Alabama,Mobile County,500,2,484,17,0.035123967,467,22625,1,1,-88.06691982,30.69668756
G01009700006001,Alabama,Mobile County,600,1,709,8,0.011283498,701,25588,1,1,-88.07769052,30.7075453
G01009700006002,Alabama,Mobile County,600,2,1127,75,0.066548358,1052,40227,1,1,-88.07520488,30.71413472
G01009700007011,Alabama,Mobile County,701,1,761,28,0.036793693,733,26042,1,1,-88.08945404,30.716711
G01009700007012,Alabama,Mobile County,701,2,488,0,0,488,50156,1,0,-88.08570619,30.71306725
G01009700007013,Alabama,Mobile County,701,3,655,0,0,655,45000,1,0,-88.08209855,30.70710611
G01009700007021,Alabama,Mobile County,702,1,848,0,0,848,27986,1,1,-88.09139267,30.72315468
G01009700007022,Alabama,Mobile County,702,2,575,0,0,575,27813,1,1,-88.09050506,30.71978307
G01009700007023,Alabama,Mobile County,702,3,1083,26,0.024007387,1057,35417,1,1,-88.09895307,30.71956038
G01009700008001,Alabama,Mobile County,800,1,1222,200,0.163666121,1022,66042,1,0,-88.08750728,30.699556
G01009700008002,Alabama,Mobile County,800,2,439,0,0,439,39790,1,1,-88.0865273,30.70385581
G01009700008003,Alabama,Mobile County,800,3,1099,167,0.151956324,932,31786,1,1,-88.09562356,30.70574541
G01009700008004,Alabama,Mobile County,800,4,831,0,0,831,39790,1,1,-88.09903237,30.71370831
G01009700008005,Alabama,Mobile County,800,5,1057,0,0,1057,21542,1,1,-88.08963544,30.70910393
G01009700009011,Alabama,Mobile County,901,1,968,535,0.55268595,433,36458,0,1,-88.0756762,30.69285384
G01009700009012,Alabama,Mobile County,901,2,863,593,0.687137891,270,70398,0,0,-88.06936745,30.68988538
G01009700009021,Alabama,Mobile County,902,1,887,588,0.662908681,299,63469,0,0,-88.0701627,30.68419458
G01009700009022,Alabama,Mobile County,902,2,1241,997,0.803384367,244,70000,0,0,-88.07773765,30.68279722
G01009700009031,Alabama,Mobile County,903,1,1359,681,0.501103753,678,45083,0,0,-88.07349024,30.67739451
G01009700010011,Alabama,Mobile County,1001,1,467,105,0.2248394,362,23452,1,1,-88.06097615,30.689537
G01009700010012,Alabama,Mobile County,1001,2,1093,595,0.544373285,498,46630,0,0,-88.0597401,30.68519445
G01009700010021,Alabama,Mobile County,1002,1,401,13,0.032418953,388,28200,1,1,-88.06079428,30.67587894
G01009700010022,Alabama,Mobile County,1002,2,1247,902,0.723336006,345,68462,0,0,-88.06056797,30.68075896
G01009700011001,Alabama,Mobile County,1100,1,640,5,0.0078125,635,21620,1,1,-88.04840162,30.68208445
G01009700011002,Alabama,Mobile County,1100,2,588,76,0.129251701,512,20497.5,1,1,-88.04717127,30.67612817
G01009700011003,Alabama,Mobile County,1100,3,1104,24,0.02173913,1080,19375,1,1,-88.05236597,30.6768128
G01009700012001,Alabama,Mobile County,1200,1,3458,1290,0.373048005,2168,27904,1,1,-88.03684212,30.70985517
G01009700012002,Alabama,Mobile County,1200,2,616,37,0.060064935,579,26369,1,1,-88.05271353,30.66817952
G01009700013021,Alabama,Mobile County,1302,1,688,0,0,688,36530,1,1,-88.06260228,30.66954935
G01009700013022,Alabama,Mobile County,1302,2,1116,0,0,1116,32614,1,1,-88.0678322,30.66373334
G01009700013023,Alabama,Mobile County,1302,3,903,0,0,903,31169,1,1,-88.0607597,30.66326541
G01009700014001,Alabama,Mobile County,1400,1,543,6,0.011049724,537,32353,1,1,-88.07584795,30.67222693
G01009700014002,Alabama,Mobile County,1400,2,623,11,0.017656501,612,27955,1,1,-88.08092089,30.6654883
G01009700014003,Alabama,Mobile County,1400,3,430,0,0,430,24234,1,1,-88.07367582,30.6662597
G01009700015011,Alabama,Mobile County,1501,1,1029,0,0,1029,19789,1,1,-88.07716783,30.6589918
G01009700015012,Alabama,Mobile County,1501,2,357,0,0,357,9156,1,1,-88.0782252,30.65191829
G01009700015021,Alabama,Mobile County,1502,1,1358,0,0,1358,12981,1,1,-88.0688374,30.6568785
G01009700018001,Alabama,Mobile County,1800,1,1370,443,0.323357664,927,35948,1,1,-88.07427268,30.58665651
G01009700018002,Alabama,Mobile County,1800,2,1152,432,0.375,720,44550,1,0,-88.06861508,30.60280942
G01009700019011,Alabama,Mobile County,1901,1,737,190,0.2578019,547,53750,1,0,-88.08597061,30.59835367
G01009700019012,Alabama,Mobile County,1901,2,1551,742,0.478401032,809,55833,1,0,-88.09346742,30.58268451
G01009700019021,Alabama,Mobile County,1902,1,1840,322,0.175,1518,30600,1,1,-88.08585601,30.60657429
G01009700019022,Alabama,Mobile County,1902,2,771,334,0.433203632,437,50833,1,0,-88.10726566,30.59617345
G01009700019023,Alabama,Mobile County,1902,3,742,543,0.73180593,199,45208,0,0,-88.10134183,30.60727307
G01009700020001,Alabama,Mobile County,2000,1,518,182,0.351351351,336,33542,1,1,-88.1006604,30.62811769
G01009700020002,Alabama,Mobile County,2000,2,1128,1010,0.895390071,118,84911,0,0,-88.11856655,30.61332819
G01009700021001,Alabama,Mobile County,2100,1,480,243,0.50625,237,40909,0,1,-88.11338623,30.65196653
G01009700021002,Alabama,Mobile County,2100,2,1017,161,0.158308751,856,37245,1,1,-88.10770078,30.64514122
G01009700021003,Alabama,Mobile County,2100,3,2465,184,0.07464503,2281,37027,1,1,-88.11250183,30.63524361
G01009700022001,Alabama,Mobile County,2200,1,953,190,0.199370409,763,31279,1,1,-88.10192425,30.65964637
G01009700022002,Alabama,Mobile County,2200,2,513,104,0.202729045,409,46625,1,0,-88.10068308,30.63895863
G01009700022003,Alabama,Mobile County,2200,3,1269,298,0.234830575,971,29708,1,1,-88.09874424,30.65215948
G01009700023011,Alabama,Mobile County,2301,1,351,29,0.082621083,322,26500,1,1,-88.09168725,30.65882617
G01009700023012,Alabama,Mobile County,2301,2,1207,47,0.038939519,1160,42981,1,0,-88.09186748,30.65104691
G01009700023013,Alabama,Mobile County,2301,3,689,61,0.088534107,628,36700,1,1,-88.09295361,30.6426066
G01009700023021,Alabama,Mobile County,2302,1,819,26,0.031746032,793,22552,1,1,-88.08561423,30.64676984
G01009700023022,Alabama,Mobile County,2302,2,880,22,0.025,858,26948,1,1,-88.08509176,30.65730909
G01009700024001,Alabama,Mobile County,2400,1,558,20,0.035842294,538,19750,1,1,-88.08434809,30.67183559
G01009700024002,Alabama,Mobile County,2400,2,817,73,0.089351285,744,36250,1,1,-88.09011011,30.66951269
G01009700024003,Alabama,Mobile County,2400,3,1620,331,0.204320988,1289,24708,1,1,-88.09817933,30.66743106
G01009700025011,Alabama,Mobile County,2501,1,1238,1083,0.874798061,155,92875,0,0,-88.0851002,30.68161939
G01009700025012,Alabama,Mobile County,2501,2,801,747,0.93258427,54,68977,0,0,-88.09126014,30.68031533
G01009700025013,Alabama,Mobile County,2501,3,1456,1212,0.832417582,244,82813,0,0,-88.0987905,30.67861521
G01009700025021,Alabama,Mobile County,2502,1,777,522,0.671814672,255,56194,0,0,-88.08590305,30.69474704
G01009700025022,Alabama,Mobile County,2502,2,400,299,0.7475,101,49500,0,0,-88.08531212,30.68900148
G01009700025023,Alabama,Mobile County,2502,3,1203,1108,0.921030756,95,94483,0,0,-88.0951601,30.69168148
G01009700026001,Alabama,Mobile County,2600,1,204,10,0.049019608,194,10361,1,1,-88.10476553,30.70023321
G01009700026002,Alabama,Mobile County,2600,2,949,296,0.311907271,653,26889,1,1,-88.1022447,30.70271672
G01009700026003,Alabama,Mobile County,2600,3,1339,144,0.107542942,1195,35357,1,1,-88.11356733,30.70906924
G01009700027001,Alabama,Mobile County,2700,1,995,205,0.206030151,790,31250,1,1,-88.10775053,30.69342829
G01009700027002,Alabama,Mobile County,2700,2,1448,79,0.054558011,1369,14781,1,1,-88.11996215,30.69650727
G01009700028001,Alabama,Mobile County,2800,1,995,416,0.418090452,579,43127.75,1,0,-88.10788498,30.68573549
G01009700028002,Alabama,Mobile County,2800,2,1053,450,0.427350427,603,46574,1,0,-88.10834237,30.68177943
G01009700028003,Alabama,Mobile County,2800,3,994,526,0.52917505,468,58608,0,0,-88.10813661,30.67859409
G01009700028004,Alabama,Mobile County,2800,4,933,200,0.214362272,733,27974,1,1,-88.1204703,30.67965103
G01009700028005,Alabama,Mobile County,2800,5,663,455,0.68627451,208,39355,0,1,-88.121068,30.68538349
G01009700029001,Alabama,Mobile County,2900,1,929,689,0.741657696,240,52000,0,0,-88.10883419,30.67137429
G01009700029002,Alabama,Mobile County,2900,2,1570,264,0.168152866,1306,41298,1,1,-88.11642819,30.66074399
G01009700029003,Alabama,Mobile County,2900,3,1843,582,0.315789474,1261,39960,1,1,-88.12083453,30.66897759
G01009700030001,Alabama,Mobile County,3000,1,1981,1230,0.620898536,751,36250,0,1,-88.14705505,30.61813515
G01009700030002,Alabama,Mobile County,3000,2,1237,758,0.612772838,479,62500,0,0,-88.12880483,30.63582718
G01009700031001,Alabama,Mobile County,3100,1,1252,1006,0.803514377,246,57500,0,0,-88.15106934,30.63314442
G01009700031002,Alabama,Mobile County,3100,2,2281,1497,0.6562911,784,72245,0,0,-88.14811209,30.64600952
G01009700031003,Alabama,Mobile County,3100,3,1113,795,0.714285714,318,73125,0,0,-88.13261771,30.65069877
G01009700032021,Alabama,Mobile County,3202,1,1691,699,0.413364873,992,31000,1,1,-88.15014406,30.65662568
G01009700032022,Alabama,Mobile County,3202,2,845,361,0.427218935,484,44808,1,0,-88.15761329,30.65388972
G01009700032031,Alabama,Mobile County,3203,1,1075,648,0.602790698,427,39219,0,1,-88.15922461,30.67333664
G01009700032032,Alabama,Mobile County,3203,2,1754,809,0.461231471,945,35496,1,1,-88.16078209,30.66635475
G01009700032041,Alabama,Mobile County,3204,1,2511,997,0.397052967,1514,33033,1,1,-88.13612958,30.66698714
G01009700032042,Alabama,Mobile County,3204,2,1567,255,0.162731334,1312,32885,1,1,-88.1381853,30.67298656
G01009700032051,Alabama,Mobile County,3205,1,461,64,0.138828633,397,18350,1,1,-88.14473053,30.6640786
G01009700032052,Alabama,Mobile County,3205,2,2118,308,0.145420208,1810,18350,1,1,-88.13932244,30.65871254
G01009700033011,Alabama,Mobile County,3301,1,1196,485,0.405518395,711,32467,1,1,-88.13469148,30.67994555
G01009700033012,Alabama,Mobile County,3301,2,1236,860,0.69579288,376,47500,0,0,-88.14063838,30.68224908
G01009700033021,Alabama,Mobile County,3302,1,1594,1162,0.728983689,432,60227,0,0,-88.13600696,30.69202722
G01009700033022,Alabama,Mobile County,3302,2,1004,712,0.709163347,292,79250,0,0,-88.13776597,30.70755682
G01009700033023,Alabama,Mobile County,3302,3,1611,1506,0.934823091,105,121477,0,0,-88.13488972,30.70164229
G01009700034021,Alabama,Mobile County,3402,1,714,198,0.277310924,516,23994,1,1,-88.12707683,30.72700252
G01009700034022,Alabama,Mobile County,3402,2,3354,609,0.18157424,2745,35545,1,1,-88.1463097,30.73569754
G01009700034041,Alabama,Mobile County,3404,1,2597,369,0.142087023,2228,30958,1,1,-88.19881554,30.71566433
G01009700034051,Alabama,Mobile County,3405,1,1897,683,0.360042172,1214,45987,1,0,-88.18252487,30.714254
G01009700034061,Alabama,Mobile County,3406,1,2873,1263,0.439610164,1610,42260,1,0,-88.14852913,30.71456461
G01009700034071,Alabama,Mobile County,3407,1,2986,1706,0.571332887,1280,53750,0,0,-88.20585684,30.76239135
G01009700034072,Alabama,Mobile County,3407,2,1832,1037,0.566048035,795,32179,0,1,-88.20793388,30.74450124
G01009700034073,Alabama,Mobile County,3407,3,2138,510,0.238540692,1628,44247,1,0,-88.20656953,30.72848024
G01009700034081,Alabama,Mobile County,3408,1,940,226,0.240425532,714,51034,1,0,-88.16968002,30.73834504
G01009700034082,Alabama,Mobile County,3408,2,770,358,0.464935065,412,51350.5,1,0,-88.17032355,30.71887333
G01009700034083,Alabama,Mobile County,3408,3,1721,468,0.271934922,1253,51667,1,0,-88.18008089,30.72816863
