GISJOIN,STATE,COUNTY,TRACT,BLKGRP,TOTAL_POP,WHITE_POP,WHITE_PERCENTAGE,BIPOC_POP,INCOME,MAJ_BIPOC,MAJ_LOW_INCOME,LON,LAT
G24051000101001,Maryland,Baltimore city,10100,1,1185,1115,0.94092827,70,145288,0,0,-76.57418644,39.28329672
G24051000101002,Maryland,Baltimore city,10100,2,761,613,0.805519054,148,109792,0,0,-76.57400073,39.28128098
G24051000101003,Maryland,Baltimore city,10100,3,1089,886,0.81359045,203,104375,0,0,-76.57358309,39.27863377
G24051000102001,Maryland,Baltimore city,10200,1,835,690,0.826347305,145,97222,0,0,-76.57275997,39.2905859
G24051000102002,Maryland,Baltimore city,10200,2,542,486,0.896678967,56,101620,0,0,-76.57225189,39.28642044
G24051000102003,Maryland,Baltimore city,10200,3,1053,885,0.84045584,168,131625,0,0,-76.57503613,39.28530682
G24051000102004,Maryland,Baltimore city,10200,4,428,389,0.908878505,39,111094,0,0,-76.57468172,39.28912092
G24051000103001,Maryland,Baltimore city,10300,1,806,675,0.837468983,131,137356,0,0,-76.58002121,39.28845476
G24051000103002,Maryland,Baltimore city,10300,2,1574,1337,0.849428208,237,148438,0,0,-76.58197843,39.28461064
G24051000104001,Maryland,Baltimore city,10400,1,797,586,0.735257215,211,109766,0,0,-76.57917135,39.28147378
G24051000104002,Maryland,Baltimore city,10400,2,2037,1633,0.801669121,404,126378,0,0,-76.58191927,39.28135879
G24051000105001,Maryland,Baltimore city,10500,1,905,715,0.790055249,190,156296,0,0,-76.58615482,39.29023711
G24051000105002,Maryland,Baltimore city,10500,2,983,726,0.738555443,257,84091,0,0,-76.5856192,39.28749271
G24051000201001,Maryland,Baltimore city,20100,1,666,388,0.582582583,278,72083,0,0,-76.58887691,39.29060482
G24051000201002,Maryland,Baltimore city,20100,2,970,801,0.825773196,169,92188,0,0,-76.5887057,39.28762472
G24051000202001,Maryland,Baltimore city,20200,1,661,384,0.580937973,277,74479,0,0,-76.59213373,39.29046161
G24051000202002,Maryland,Baltimore city,20200,2,1017,694,0.682399213,323,101250,0,0,-76.59196483,39.28749032
G24051000203001,Maryland,Baltimore city,20300,1,1265,999,0.78972332,266,73528,0,0,-76.59026488,39.28469473
G24051000203002,Maryland,Baltimore city,20300,2,1246,950,0.762439807,296,115429,0,0,-76.5966915,39.28220058
G24051000203003,Maryland,Baltimore city,20300,3,1250,906,0.7248,344,131406,0,0,-76.59010041,39.28192701
G24051000301001,Maryland,Baltimore city,30100,1,1444,173,0.119806094,1271,18849,1,1,-76.59655997,39.28788134
G24051000301002,Maryland,Baltimore city,30100,2,942,179,0.190021231,763,28571,1,1,-76.5965995,39.29184232
G24051000302001,Maryland,Baltimore city,30200,1,1027,273,0.265822785,754,35735,1,1,-76.60262324,39.28944395
G24051000302002,Maryland,Baltimore city,30200,2,1246,823,0.660513644,423,112589,0,0,-76.60148901,39.28483092
G24051000401001,Maryland,Baltimore city,40100,1,2723,1345,0.493940507,1378,73516,1,0,-76.61307131,39.28955069
G24051000401002,Maryland,Baltimore city,40100,2,2328,544,0.233676976,1784,61571,1,0,-76.61889535,39.29216892
G24051000402001,Maryland,Baltimore city,40200,1,984,422,0.428861789,562,43417,1,1,-76.62505649,39.2903224
G24051000601001,Maryland,Baltimore city,60100,1,538,88,0.163568773,450,23333,1,1,-76.57415959,39.29589515
G24051000601002,Maryland,Baltimore city,60100,2,997,314,0.314944835,683,58194,1,0,-76.57403667,39.29351709
G24051000601003,Maryland,Baltimore city,60100,3,651,327,0.502304147,324,103438,0,0,-76.57664742,39.29341825
G24051000601004,Maryland,Baltimore city,60100,4,467,21,0.04496788,446,69875,1,0,-76.57679626,39.29579272
G24051000602001,Maryland,Baltimore city,60200,1,534,39,0.073033708,495,56127,1,0,-76.57891746,39.29569723
G24051000602002,Maryland,Baltimore city,60200,2,525,341,0.64952381,184,102386,0,0,-76.57876127,39.29334535
G24051000602003,Maryland,Baltimore city,60200,3,1017,422,0.414945919,595,44280,1,1,-76.58088174,39.29325448
G24051000602004,Maryland,Baltimore city,60200,4,699,318,0.454935622,381,75375,1,0,-76.58273606,39.29434885
G24051000602005,Maryland,Baltimore city,60200,5,262,75,0.286259542,187,72344,1,0,-76.58104578,39.29562696
G24051000603001,Maryland,Baltimore city,60300,1,975,136,0.139487179,839,62917,1,0,-76.58558333,39.29544845
G24051000603002,Maryland,Baltimore city,60300,2,906,580,0.6401766,326,76979,0,0,-76.58544061,39.29308545
G24051000604001,Maryland,Baltimore city,60400,1,687,168,0.244541485,519,58750,1,0,-76.59233612,39.29510887
G24051000604002,Maryland,Baltimore city,60400,2,874,307,0.351258581,567,48500,1,0,-76.58907873,39.29508538
G24051000701001,Maryland,Baltimore city,70100,1,1478,79,0.053450609,1399,43411,1,1,-76.57549326,39.3008934
G24051000701002,Maryland,Baltimore city,70100,2,1488,21,0.014112903,1467,43152,1,1,-76.57532491,39.29807857
G24051000702001,Maryland,Baltimore city,70200,1,692,78,0.112716763,614,29208.33333,1,1,-76.58131452,39.3017526
G24051000702002,Maryland,Baltimore city,70200,2,926,4,0.004319654,922,23889,1,1,-76.57956417,39.30002151
G24051000702003,Maryland,Baltimore city,70200,3,853,0,0,853,19744,1,1,-76.57942256,39.29791032
G24051000702004,Maryland,Baltimore city,70200,4,515,0,0,515,29208.33333,1,1,-76.58224226,39.29780029
G24051000702005,Maryland,Baltimore city,70200,5,710,0,0,710,43992,1,1,-76.58238675,39.29991758
G24051000703001,Maryland,Baltimore city,70300,1,634,15,0.023659306,619,36618,1,1,-76.58576255,39.29819334
G24051000703002,Maryland,Baltimore city,70300,2,266,27,0.101503759,239,38125,1,1,-76.5861573,39.30110423
G24051000704001,Maryland,Baltimore city,70400,1,419,83,0.198090692,336,52292,1,0,-76.58948997,39.30034243
G24051000704002,Maryland,Baltimore city,70400,2,344,7,0.020348837,337,14958,1,1,-76.59276753,39.30020056
G24051000704003,Maryland,Baltimore city,70400,3,838,14,0.016706444,824,19091,1,1,-76.59612546,39.30007382
G24051000801011,Maryland,Baltimore city,80101,1,781,672,0.860435339,109,116250,0,0,-76.58156385,39.32303225
G24051000801012,Maryland,Baltimore city,80101,2,1105,304,0.275113122,801,102667,1,0,-76.57503125,39.32640944
G24051000801013,Maryland,Baltimore city,80101,3,1342,115,0.085692996,1227,48910,1,0,-76.57251078,39.32392003
G24051000801014,Maryland,Baltimore city,80101,4,641,143,0.223088924,498,59375,1,0,-76.57572008,39.32388536
G24051000801021,Maryland,Baltimore city,80102,1,860,42,0.048837209,818,30625,1,1,-76.57469966,39.31883205
G24051000801022,Maryland,Baltimore city,80102,2,1299,29,0.022324865,1270,32992,1,1,-76.57687346,39.3155751
G24051000802001,Maryland,Baltimore city,80200,1,240,0,0,240,56161,1,0,-76.57811687,39.31170282
G24051000802002,Maryland,Baltimore city,80200,2,336,0,0,336,19423,1,1,-76.5844337,39.31077285
G24051000802003,Maryland,Baltimore city,80200,3,588,71,0.120748299,517,38813,1,1,-76.58685285,39.31288695
G24051000803011,Maryland,Baltimore city,80301,1,226,0,0,226,43125,1,1,-76.58326972,39.30740103
G24051000803012,Maryland,Baltimore city,80301,2,928,2,0.002155172,926,36337.5,1,1,-76.58111156,39.30691559
G24051000803013,Maryland,Baltimore city,80301,3,605,0,0,605,29550,1,1,-76.58210525,39.30388793
G24051000803021,Maryland,Baltimore city,80302,1,649,0,0,649,52662,1,0,-76.57442042,39.30826481
G24051000803022,Maryland,Baltimore city,80302,2,445,0,0,445,27188,1,1,-76.57522796,39.30454222
G24051000803023,Maryland,Baltimore city,80302,3,609,136,0.223316913,473,55792,1,0,-76.57833207,39.30472177
G24051000803024,Maryland,Baltimore city,80302,4,1203,0,0,1203,31976,1,1,-76.57789077,39.30758807
G24051000804001,Maryland,Baltimore city,80400,1,577,94,0.162911612,483,43250,1,1,-76.58638167,39.30709746
G24051000804002,Maryland,Baltimore city,80400,2,686,34,0.049562682,652,17560,1,1,-76.58590302,39.30393452
G24051000805001,Maryland,Baltimore city,80500,1,594,14,0.023569024,580,29605,1,1,-76.59311235,39.31586986
G24051000805002,Maryland,Baltimore city,80500,2,349,0,0,349,29650,1,1,-76.59468479,39.31485128
G24051000805003,Maryland,Baltimore city,80500,3,467,0,0,467,41250,1,1,-76.59396401,39.31324447
G24051000806001,Maryland,Baltimore city,80600,1,695,85,0.122302158,610,30089,1,1,-76.59020503,39.31030203
G24051000806002,Maryland,Baltimore city,80600,2,455,35,0.076923077,420,47708,1,0,-76.59677427,39.31080925
G24051000806003,Maryland,Baltimore city,80600,3,264,0,0,264,34766,1,1,-76.59201105,39.31100221
G24051000806004,Maryland,Baltimore city,80600,4,518,49,0.094594595,469,34375,1,1,-76.59484079,39.3099801
G24051000807001,Maryland,Baltimore city,80700,1,481,13,0.027027027,468,40833,1,1,-76.59605932,39.30711656
G24051000807002,Maryland,Baltimore city,80700,2,123,0,0,123,38036,1,1,-76.59138443,39.30697452
G24051000808001,Maryland,Baltimore city,80800,1,230,46,0.2,184,28214,1,1,-76.59070443,39.30346698
G24051000808002,Maryland,Baltimore city,80800,2,1353,24,0.017738359,1329,56288,1,0,-76.59501268,39.30389116
G24051000901001,Maryland,Baltimore city,90100,1,1255,30,0.023904382,1225,35708,1,1,-76.60425604,39.33941868
G24051000901002,Maryland,Baltimore city,90100,2,939,50,0.053248136,889,63482,1,0,-76.59897528,39.335982
G24051000901003,Maryland,Baltimore city,90100,3,660,343,0.51969697,317,74500,0,0,-76.60361647,39.33554064
G24051000901004,Maryland,Baltimore city,90100,4,489,0,0,489,25952,1,1,-76.60827453,39.33659344
G24051000901005,Maryland,Baltimore city,90100,5,415,0,0,415,49910.5,1,0,-76.60533141,39.33803982
G24051000902001,Maryland,Baltimore city,90200,1,1307,364,0.278500383,943,79583,1,0,-76.58609255,39.33507991
G24051000902002,Maryland,Baltimore city,90200,2,1449,99,0.068322981,1350,69792,1,0,-76.59186485,39.33306946
G24051000903001,Maryland,Baltimore city,90300,1,424,108,0.254716981,316,72708,1,0,-76.5972047,39.33208198
G24051000903002,Maryland,Baltimore city,90300,2,1039,88,0.084696824,951,21974,1,1,-76.60121809,39.32959403
G24051000903003,Maryland,Baltimore city,90300,3,788,365,0.46319797,423,89032,1,0,-76.60163785,39.33290503
