GISJOIN,STATE,COUNTY,TRACT,BLKGRP,TOTAL_POP,WHITE_POP,WHITE_PERCENTAGE,BIPOC_POP,INCOME,MAJ_BIPOC,MAJ_LOW_INCOME,LON,LAT
G22003300001001,Louisiana,East Baton Rouge Parish,100,1,1661,85,0.051173992,1576,21271,1,1,-91.1609183,30.50442885
G22003300002001,Louisiana,East Baton Rouge Parish,200,1,1409,45,0.031937544,1364,30845,1,1,-91.1400254,30.50394933
G22003300002002,Louisiana,East Baton Rouge Parish,200,2,1341,0,0,1341,26250,1,1,-91.1487015,30.50385208
G22003300002003,Louisiana,East Baton Rouge Parish,200,3,816,87,0.106617647,729,19485,1,1,-91.1395904,30.49737319
G22003300002004,Louisiana,East Baton Rouge Parish,200,4,879,24,0.027303754,855,17384,1,1,-91.1318479,30.49869304
G22003300002005,Louisiana,East Baton Rouge Parish,200,5,617,23,0.037277147,594,12107,1,1,-91.1341514,30.49353489
G22003300002006,Louisiana,East Baton Rouge Parish,200,6,1655,97,0.058610272,1558,17791,1,1,-91.130761,30.49065743
G22003300003001,Louisiana,East Baton Rouge Parish,300,1,1615,64,0.039628483,1551,29929,1,1,-91.162262,30.49412055
G22003300004001,Louisiana,East Baton Rouge Parish,400,1,872,70,0.080275229,802,21971,1,1,-91.1465207,30.49575589
G22003300004002,Louisiana,East Baton Rouge Parish,400,2,859,34,0.039580908,825,24985.5,1,1,-91.1510649,30.49354814
G22003300004003,Louisiana,East Baton Rouge Parish,400,3,892,6,0.006726457,886,28000,1,1,-91.1486272,30.48917792
G22003300005001,Louisiana,East Baton Rouge Parish,500,1,1676,39,0.02326969,1637,23816,1,1,-91.1589815,30.4762555
G22003300005002,Louisiana,East Baton Rouge Parish,500,2,1156,0,0,1156,34453,1,1,-91.1651256,30.47480488
G22003300005003,Louisiana,East Baton Rouge Parish,500,3,1177,21,0.017841971,1156,21633,1,1,-91.1638195,30.4837937
G22003300006011,Louisiana,East Baton Rouge Parish,601,1,384,10,0.026041667,374,11953,1,1,-91.1441833,30.48506476
G22003300006012,Louisiana,East Baton Rouge Parish,601,2,1556,56,0.035989717,1500,29848,1,1,-91.1531613,30.48294052
G22003300006013,Louisiana,East Baton Rouge Parish,601,3,717,12,0.016736402,705,20900.5,1,1,-91.14599,30.48120642
G22003300006021,Louisiana,East Baton Rouge Parish,602,1,696,0,0,696,28250.33333,1,1,-91.1425421,30.47466748
G22003300006022,Louisiana,East Baton Rouge Parish,602,2,716,9,0.012569832,707,28250.33333,1,1,-91.1487106,30.47447133
G22003300006023,Louisiana,East Baton Rouge Parish,602,3,742,0,0,742,27750,1,1,-91.1546465,30.47429012
G22003300006024,Louisiana,East Baton Rouge Parish,602,4,937,0,0,937,29773,1,1,-91.145388,30.46852123
G22003300006025,Louisiana,East Baton Rouge Parish,602,5,851,0,0,851,27228,1,1,-91.1506728,30.46695122
G22003300007011,Louisiana,East Baton Rouge Parish,701,1,1520,79,0.051973684,1441,27454,1,1,-91.126951,30.48329527
G22003300007012,Louisiana,East Baton Rouge Parish,701,2,805,80,0.099378882,725,23994,1,1,-91.1376202,30.48431037
G22003300007021,Louisiana,East Baton Rouge Parish,702,1,1012,40,0.039525692,972,30571,1,1,-91.1187649,30.47518385
G22003300007022,Louisiana,East Baton Rouge Parish,702,2,1181,0,0,1181,45588,1,1,-91.1305961,30.47488749
G22003300007023,Louisiana,East Baton Rouge Parish,702,3,1040,27,0.025961538,1013,35333,1,1,-91.1378688,30.47485402
G22003300009001,Louisiana,East Baton Rouge Parish,900,1,1052,0,0,1052,43090,1,1,-91.1581029,30.46736085
G22003300009002,Louisiana,East Baton Rouge Parish,900,2,492,0,0,492,33906,1,1,-91.1626987,30.4669175
G22003300009003,Louisiana,East Baton Rouge Parish,900,3,703,82,0.116642959,621,17976,1,1,-91.1646151,30.46064554
G22003300009004,Louisiana,East Baton Rouge Parish,900,4,485,29,0.059793814,456,32656,1,1,-91.1591538,30.46286597
G22003300009005,Louisiana,East Baton Rouge Parish,900,5,1144,0,0,1144,23675,1,1,-91.1578844,30.4572921
G22003300010001,Louisiana,East Baton Rouge Parish,1000,1,327,48,0.146788991,279,32969,1,1,-91.145682,30.46387222
G22003300010002,Louisiana,East Baton Rouge Parish,1000,2,1230,0,0,1230,22875,1,1,-91.1534132,30.46147253
G22003300010003,Louisiana,East Baton Rouge Parish,1000,3,506,0,0,506,40139,1,1,-91.1526896,30.45579897
G22003300010004,Louisiana,East Baton Rouge Parish,1000,4,231,0,0,231,22917,1,1,-91.1478791,30.45790562
G22003300010005,Louisiana,East Baton Rouge Parish,1000,5,1052,7,0.006653992,1045,29725,1,1,-91.1421298,30.45814866
G22003300011021,Louisiana,East Baton Rouge Parish,1102,1,1082,153,0.141404806,929,21719,1,1,-91.1136357,30.46742566
G22003300011022,Louisiana,East Baton Rouge Parish,1102,2,2318,470,0.202761001,1848,25908,1,1,-91.1062341,30.45792125
G22003300011031,Louisiana,East Baton Rouge Parish,1103,1,965,0,0,965,24195,1,1,-91.1356001,30.46767173
G22003300011032,Louisiana,East Baton Rouge Parish,1103,2,2110,332,0.157345972,1778,52447,1,0,-91.1332098,30.45817736
G22003300011041,Louisiana,East Baton Rouge Parish,1104,1,1660,132,0.079518072,1528,23275,1,1,-91.1236038,30.46391934
G22003300011042,Louisiana,East Baton Rouge Parish,1104,2,1353,79,0.058388766,1274,22748,1,1,-91.1229617,30.45418522
G22003300011043,Louisiana,East Baton Rouge Parish,1104,3,1128,186,0.164893617,942,18500,1,1,-91.115607,30.45603472
G22003300016001,Louisiana,East Baton Rouge Parish,1600,1,418,0,0,418,44321,1,1,-91.1606365,30.45093793
G22003300016002,Louisiana,East Baton Rouge Parish,1600,2,1087,485,0.446182153,602,71302,1,0,-91.1604397,30.44633296
G22003300016003,Louisiana,East Baton Rouge Parish,1600,3,841,766,0.910820452,75,86719,0,0,-91.1651314,30.44101325
G22003300016004,Louisiana,East Baton Rouge Parish,1600,4,935,669,0.715508021,266,45208,0,1,-91.1577546,30.44177283
G22003300017001,Louisiana,East Baton Rouge Parish,1700,1,1831,1784,0.974330967,47,150433,0,0,-91.1443333,30.43492038
G22003300017002,Louisiana,East Baton Rouge Parish,1700,2,1451,631,0.434872502,820,23460,1,1,-91.1457062,30.44971308
G22003300017003,Louisiana,East Baton Rouge Parish,1700,3,886,516,0.582392777,370,38669,0,1,-91.1509296,30.44629145
G22003300017004,Louisiana,East Baton Rouge Parish,1700,4,1361,1281,0.941219691,80,85388,0,0,-91.1459687,30.44236439
G22003300018001,Louisiana,East Baton Rouge Parish,1800,1,896,631,0.704241071,265,60833,0,0,-91.1173311,30.44838255
G22003300018002,Louisiana,East Baton Rouge Parish,1800,2,1361,817,0.600293902,544,31641,0,1,-91.1308072,30.44794943
G22003300019001,Louisiana,East Baton Rouge Parish,1900,1,919,856,0.931447225,63,119688,0,0,-91.1153094,30.43966025
G22003300019002,Louisiana,East Baton Rouge Parish,1900,2,684,617,0.902046784,67,136875,0,0,-91.1242294,30.44054688
G22003300019003,Louisiana,East Baton Rouge Parish,1900,3,1227,1043,0.85004075,184,77109,0,0,-91.1350975,30.43986971
G22003300020001,Louisiana,East Baton Rouge Parish,2000,1,1647,1377,0.836065574,270,66813,0,0,-91.093424,30.44039242
G22003300020002,Louisiana,East Baton Rouge Parish,2000,2,1850,1673,0.904324324,177,97122,0,0,-91.1054356,30.44087646
G22003300022001,Louisiana,East Baton Rouge Parish,2200,1,750,219,0.292,531,22051,1,1,-91.1707791,30.43677849
G22003300022002,Louisiana,East Baton Rouge Parish,2200,2,476,1,0.00210084,475,22273,1,1,-91.1754987,30.43533559
G22003300023001,Louisiana,East Baton Rouge Parish,2300,1,668,644,0.964071856,24,70906,0,0,-91.1562325,30.43615566
G22003300023002,Louisiana,East Baton Rouge Parish,2300,2,660,622,0.942424242,38,87250,0,0,-91.163622,30.43657298
G22003300023003,Louisiana,East Baton Rouge Parish,2300,3,1116,1032,0.924731183,84,94291,0,0,-91.1589686,30.429857
G22003300024001,Louisiana,East Baton Rouge Parish,2400,1,1224,401,0.327614379,823,30170,1,1,-91.1929558,30.42591484
G22003300024002,Louisiana,East Baton Rouge Parish,2400,2,1379,148,0.107324148,1231,28509,1,1,-91.1837296,30.42527767
G22003300025001,Louisiana,East Baton Rouge Parish,2500,1,675,0,0,675,46181,1,1,-91.1724495,30.42854072
G22003300025002,Louisiana,East Baton Rouge Parish,2500,2,398,0,0,398,33594,1,1,-91.1784596,30.42913715
G22003300025003,Louisiana,East Baton Rouge Parish,2500,3,268,0,0,268,49118,1,1,-91.1771011,30.42458301
G22003300025004,Louisiana,East Baton Rouge Parish,2500,4,1410,1087,0.770921986,323,16917,0,1,-91.1725695,30.42267646
G22003300026011,Louisiana,East Baton Rouge Parish,2601,1,1524,1204,0.790026247,320,85893,0,0,-91.1614859,30.42308323
G22003300026012,Louisiana,East Baton Rouge Parish,2601,2,2720,2369,0.870955882,351,105089,0,0,-91.1528073,30.41200386
G22003300026021,Louisiana,East Baton Rouge Parish,2602,1,493,467,0.947261663,26,77977.5,0,0,-91.1437349,30.41171668
G22003300026022,Louisiana,East Baton Rouge Parish,2602,2,1576,1496,0.949238579,80,113512,0,0,-91.1375795,30.40427066
G22003300026023,Louisiana,East Baton Rouge Parish,2602,3,2328,917,0.393900344,1411,42443,1,1,-91.119293,30.39858878
G22003300027001,Louisiana,East Baton Rouge Parish,2700,1,862,583,0.676334107,279,90114,0,0,-91.1456321,30.42942404
G22003300027002,Louisiana,East Baton Rouge Parish,2700,2,743,27,0.036339166,716,30592,1,1,-91.1445641,30.42361438
G22003300028011,Louisiana,East Baton Rouge Parish,2801,1,578,352,0.60899654,226,19150,0,1,-91.1908996,30.4119514
G22003300028012,Louisiana,East Baton Rouge Parish,2801,2,1633,1035,0.633802817,598,19150,0,1,-91.1823528,30.41968604
G22003300028021,Louisiana,East Baton Rouge Parish,2802,1,2309,1451,0.628410567,858,18478,0,1,-91.176042,30.40725513
G22003300028022,Louisiana,East Baton Rouge Parish,2802,2,1542,1069,0.693255512,473,40625,0,1,-91.1685644,30.41443766
