GISJOIN,STATE,COUNTY,TRACT,BLKGRP,TOTAL_POP,WHITE_POP,WHITE_PERCENTAGE,BIPOC_POP,INCOME,MAJ_BIPOC,MAJ_LOW_INCOME,LON,LAT
G13012100001001,Georgia,Fulton County,100,1,1063,1004,0.944496707,59,110750,0,0,-84.35206518,33.78952313
G13012100001002,Georgia,Fulton County,100,2,1098,851,0.775045537,247,173083,0,0,-84.35134084,33.7844571
G13012100001003,Georgia,Fulton County,100,3,1997,1674,0.838257386,323,183182,0,0,-84.35634536,33.8043335
G13012100001004,Georgia,Fulton County,100,4,1252,1127,0.900159744,125,169913,0,0,-84.35367998,33.79525996
G13012100002001,Georgia,Fulton County,200,1,1281,1152,0.899297424,129,110481,0,0,-84.36771825,33.79996094
G13012100002002,Georgia,Fulton County,200,2,1379,1232,0.893401015,147,101712,0,0,-84.36407111,33.79472223
G13012100002003,Georgia,Fulton County,200,3,1076,916,0.851301115,160,212857,0,0,-84.36163096,33.7901015
G13012100002004,Georgia,Fulton County,200,4,1458,1122,0.769547325,336,248958,0,0,-84.36342127,33.78697755
G13012100002005,Georgia,Fulton County,200,5,981,834,0.850152905,147,250001,0,0,-84.36358433,33.78352344
G13012100004001,Georgia,Fulton County,400,1,1044,880,0.842911877,164,175000,0,0,-84.38410924,33.79099948
G13012100004002,Georgia,Fulton County,400,2,1003,825,0.822532403,178,91546,0,0,-84.37500122,33.78717595
G13012100005001,Georgia,Fulton County,500,1,2982,1664,0.558014755,1318,85574,0,0,-84.39320792,33.79206656
G13012100005002,Georgia,Fulton County,500,2,920,532,0.57826087,388,57241,0,1,-84.37855717,33.79452444
G13012100005003,Georgia,Fulton County,500,3,1317,1130,0.85801063,187,138199,0,0,-84.38096403,33.80094245
G13012100006001,Georgia,Fulton County,600,1,7952,3620,0.455231388,4332,53686,1,1,-84.40582767,33.78497149
G13012100007001,Georgia,Fulton County,700,1,2454,373,0.15199674,2081,84107,1,0,-84.42449471,33.77776158
G13012100007002,Georgia,Fulton County,700,2,885,498,0.562711864,387,84107,0,0,-84.42318035,33.78020244
G13012100010011,Georgia,Fulton County,1001,1,1585,601,0.379179811,984,47353,1,1,-84.39701729,33.78356677
G13012100010012,Georgia,Fulton County,1001,2,1319,968,0.73388931,351,115500,0,0,-84.39037089,33.78054921
G13012100010021,Georgia,Fulton County,1002,1,7305,3094,0.423545517,4211,31042,1,1,-84.39951238,33.77635373
G13012100011001,Georgia,Fulton County,1100,1,1290,910,0.705426357,380,95733,0,0,-84.38393164,33.78534475
G13012100011002,Georgia,Fulton County,1100,2,1213,908,0.748557296,305,109674,0,0,-84.38055894,33.78594496
G13012100011003,Georgia,Fulton County,1100,3,2690,2049,0.761710037,641,129583,0,0,-84.38297027,33.78309006
G13012100012011,Georgia,Fulton County,1201,1,1940,1659,0.855154639,281,106042,0,0,-84.38016259,33.77878033
G13012100012012,Georgia,Fulton County,1201,2,2587,1644,0.635485118,943,58027,0,1,-84.38047238,33.77354241
G13012100012021,Georgia,Fulton County,1202,1,3937,3017,0.766319533,920,112778,0,0,-84.38501153,33.77826385
G13012100012022,Georgia,Fulton County,1202,2,1269,445,0.350669819,824,50551,1,1,-84.38552638,33.77297672
G13012100013001,Georgia,Fulton County,1300,1,2015,1071,0.531513648,944,88977,0,0,-84.37000958,33.77614704
G13012100013002,Georgia,Fulton County,1300,2,1081,893,0.826086957,188,70221,0,0,-84.37388342,33.77787792
G13012100013003,Georgia,Fulton County,1300,3,1325,819,0.618113208,506,72125,0,0,-84.37439308,33.77454054
G13012100014001,Georgia,Fulton County,1400,1,1578,1310,0.830164766,268,81420,0,0,-84.36195291,33.77470662
G13012100014002,Georgia,Fulton County,1400,2,767,682,0.889178618,85,87235,0,0,-84.36262646,33.77985205
G13012100015001,Georgia,Fulton County,1500,1,1409,1062,0.753726047,347,86691,0,0,-84.35431386,33.77246847
G13012100015002,Georgia,Fulton County,1500,2,1409,1158,0.821859475,251,88382,0,0,-84.35367868,33.77989546
G13012100015003,Georgia,Fulton County,1500,3,782,660,0.84398977,122,43676,0,1,-84.35500211,33.77693663
G13012100015004,Georgia,Fulton County,1500,4,1017,693,0.681415929,324,51869,0,1,-84.353421,33.77505046
G13012100016001,Georgia,Fulton County,1600,1,2237,1837,0.821189093,400,78182,0,0,-84.35553916,33.76759818
G13012100017001,Georgia,Fulton County,1700,1,4364,2836,0.649862511,1528,96239,0,0,-84.3663421,33.76515014
G13012100017002,Georgia,Fulton County,1700,2,547,134,0.244972578,413,96239,1,0,-84.37039861,33.76872683
G13012100018001,Georgia,Fulton County,1800,1,2613,1429,0.54688098,1184,64311,0,1,-84.3786567,33.76435379
G13012100018002,Georgia,Fulton County,1800,2,798,96,0.120300752,702,8891,1,1,-84.37532168,33.7689746
G13012100018003,Georgia,Fulton County,1800,3,870,542,0.622988506,328,53589,0,1,-84.37984607,33.76936787
G13012100019001,Georgia,Fulton County,1900,1,3116,1281,0.411103979,1835,23250,1,1,-84.39126921,33.76777681
G13012100019002,Georgia,Fulton County,1900,2,1948,708,0.363449692,1240,73464,1,0,-84.38658603,33.7658759
G13012100021001,Georgia,Fulton County,2100,1,2409,775,0.321710253,1634,68618,1,0,-84.39480772,33.76551595
G13012100023001,Georgia,Fulton County,2300,1,472,15,0.031779661,457,39583,1,1,-84.41135141,33.7653748
G13012100023002,Georgia,Fulton County,2300,2,412,55,0.133495146,357,27708,1,1,-84.41648018,33.76625263
G13012100023003,Georgia,Fulton County,2300,3,384,0,0,384,19844,1,1,-84.42200709,33.7683323
G13012100024001,Georgia,Fulton County,2400,1,1651,73,0.044215627,1578,33158,1,1,-84.42114909,33.7588263
G13012100024002,Georgia,Fulton County,2400,2,1251,62,0.049560352,1189,22300,1,1,-84.42816822,33.75852615
G13012100025001,Georgia,Fulton County,2500,1,2069,124,0.059932334,1945,27625,1,1,-84.41471147,33.75936639
G13012100025002,Georgia,Fulton County,2500,2,745,42,0.056375839,703,33162,1,1,-84.40997294,33.75869169
G13012100026001,Georgia,Fulton County,2600,1,1672,18,0.01076555,1654,33611,1,1,-84.40262852,33.75879375
G13012100028001,Georgia,Fulton County,2800,1,4713,1550,0.328877573,3163,41227,1,1,-84.38010844,33.75867418
G13012100028002,Georgia,Fulton County,2800,2,518,34,0.065637066,484,13929,1,1,-84.37674727,33.75589199
G13012100029001,Georgia,Fulton County,2900,1,2425,1163,0.479587629,1262,71210,1,0,-84.3693491,33.75800533
G13012100030001,Georgia,Fulton County,3000,1,1997,1506,0.754131197,491,113973,0,0,-84.36124106,33.75816999
G13012100030002,Georgia,Fulton County,3000,2,1633,1344,0.823025107,289,107063,0,0,-84.35527198,33.75948258
G13012100031001,Georgia,Fulton County,3100,1,1047,809,0.772683859,238,104706,0,0,-84.35352802,33.74956931
G13012100031002,Georgia,Fulton County,3100,2,1004,548,0.545816733,456,37337,0,1,-84.35246107,33.75511188
G13012100032001,Georgia,Fulton County,3200,1,2389,1852,0.775219757,537,111830,0,0,-84.36509584,33.74982321
G13012100035001,Georgia,Fulton County,3500,1,852,335,0.393192488,517,42431,1,1,-84.3855346,33.74863137
G13012100035002,Georgia,Fulton County,3500,2,1222,386,0.315875614,836,71750,1,0,-84.3959223,33.75255585
G13012100036001,Georgia,Fulton County,3600,1,1254,119,0.094896332,1135,53152,1,1,-84.40292326,33.75187311
G13012100037001,Georgia,Fulton County,3700,1,196,0,0,196,23684,1,1,-84.41013309,33.74898829
G13012100038001,Georgia,Fulton County,3800,1,4283,684,0.159701144,3599,20625,1,1,-84.41202299,33.75082858
G13012100039001,Georgia,Fulton County,3900,1,1156,7,0.006055363,1149,28893,1,1,-84.42294803,33.75160824
G13012100039002,Georgia,Fulton County,3900,2,934,6,0.006423983,928,35673,1,1,-84.42110574,33.74808966
G13012100040001,Georgia,Fulton County,4000,1,1142,12,0.010507881,1130,35893,1,1,-84.43521504,33.75224081
G13012100040002,Georgia,Fulton County,4000,2,855,66,0.077192982,789,31852,1,1,-84.43776345,33.74674193
G13012100040003,Georgia,Fulton County,4000,3,708,52,0.073446328,656,30139,1,1,-84.43624435,33.74956628
G13012100041001,Georgia,Fulton County,4100,1,598,5,0.008361204,593,29286,1,1,-84.42712013,33.74524969
