GISJOIN,STATE,COUNTY,TRACT,BLKGRP,TOTAL_POP,WHITE_POP,WHITE_PERCENTAGE,BIPOC_POP,INCOME,MAJ_BIPOC,MAJ_LOW_INCOME,LON,LAT
G48045300001011,Texas,Travis County,101,1,812,684,0.842364532,128,110703,0,0,-97.7501527,30.32769531
G48045300001012,Texas,Travis County,101,2,1466,1210,0.825375171,256,169492,0,0,-97.75649478,30.32865836
G48045300001013,Texas,Travis County,101,3,2133,1766,0.827941866,367,73234,0,1,-97.75270042,30.31345796
G48045300001021,Texas,Travis County,102,1,1544,1347,0.872409326,197,183167,0,0,-97.76998484,30.33165113
G48045300001022,Texas,Travis County,102,2,1036,1001,0.966216216,35,207500,0,0,-97.76395904,30.31926606
G48045300002031,Texas,Travis County,203,1,2334,1431,0.61311054,903,74250,0,0,-97.73666601,30.31262055
G48045300002041,Texas,Travis County,204,1,1237,848,0.685529507,389,33045,0,1,-97.74294322,30.30030397
G48045300002042,Texas,Travis County,204,2,1281,1035,0.807962529,246,87361,0,0,-97.74574953,30.31354771
G48045300002043,Texas,Travis County,204,3,578,425,0.735294118,153,159219,0,0,-97.74456418,30.30718559
G48045300002051,Texas,Travis County,205,1,1477,1194,0.808395396,283,95357,0,0,-97.73668354,30.32950267
G48045300002052,Texas,Travis County,205,2,1905,1025,0.538057743,880,63750,0,1,-97.7308969,30.3250571
G48045300002053,Texas,Travis County,205,3,548,434,0.791970803,114,112083,0,0,-97.73744475,30.32191821
G48045300002061,Texas,Travis County,206,1,1331,1156,0.86851991,175,105833,0,0,-97.74353412,30.32025814
G48045300002062,Texas,Travis County,206,2,784,673,0.858418367,111,165556,0,0,-97.74490095,30.33133645
G48045300002063,Texas,Travis County,206,3,1260,823,0.653174603,437,53438,0,1,-97.74127851,30.32801867
G48045300003021,Texas,Travis County,302,1,1086,853,0.785451197,233,66825,0,1,-97.73210389,30.30751573
G48045300003022,Texas,Travis County,302,2,1068,491,0.459737828,577,45313,1,1,-97.73468883,30.30345457
G48045300003023,Texas,Travis County,302,3,992,849,0.855846774,143,113790,0,0,-97.72357989,30.303463
G48045300003024,Texas,Travis County,302,4,1018,614,0.603143418,404,65563,0,1,-97.71953876,30.29973108
G48045300003025,Texas,Travis County,302,5,1071,839,0.783380019,232,57269,0,1,-97.72778737,30.30179764
G48045300003041,Texas,Travis County,304,1,1174,862,0.734241908,312,47500,0,1,-97.71449899,30.30822591
G48045300003042,Texas,Travis County,304,2,1953,1553,0.795186892,400,98088,0,0,-97.71929509,30.31050559
G48045300003051,Texas,Travis County,305,1,1528,1287,0.842277487,241,101250,0,0,-97.72345383,30.31208508
G48045300003052,Texas,Travis County,305,2,948,748,0.789029536,200,52955,0,1,-97.72870941,30.31383715
G48045300003053,Texas,Travis County,305,3,1617,1174,0.726035869,443,62109,0,1,-97.72567296,30.31907334
G48045300003061,Texas,Travis County,306,1,6029,3704,0.614363908,2325,93750,0,0,-97.70027696,30.29714752
G48045300003071,Texas,Travis County,307,1,1820,1337,0.734615385,483,94423,0,0,-97.71256525,30.29703257
G48045300004011,Texas,Travis County,401,1,1713,1451,0.847051956,262,98375,0,0,-97.72007934,30.28854897
G48045300004012,Texas,Travis County,401,2,2516,1497,0.594992051,1019,33571,0,1,-97.72816766,30.28806009
G48045300004021,Texas,Travis County,402,1,1427,933,0.653819201,494,62887,0,1,-97.71221163,30.28769718
G48045300004022,Texas,Travis County,402,2,1350,452,0.334814815,898,38884,1,1,-97.71004194,30.28361838
G48045300004023,Texas,Travis County,402,3,884,475,0.537330317,409,61700,0,1,-97.72196206,30.28165177
G48045300005001,Texas,Travis County,500,1,891,598,0.671156004,293,25945,0,1,-97.73501236,30.29393355
G48045300005002,Texas,Travis County,500,2,1364,1014,0.74340176,350,54267,0,1,-97.73299935,30.2975252
G48045300005003,Texas,Travis County,500,3,963,844,0.87642783,119,92632,0,0,-97.73087189,30.29353545
G48045300005004,Texas,Travis County,500,4,1213,1067,0.879637263,146,51023,0,1,-97.73781856,30.2985208
G48045300006011,Texas,Travis County,601,1,1249,739,0.591673339,510,19120,0,1,-97.73964488,30.29373536
G48045300006012,Texas,Travis County,601,2,9083,4197,0.462072003,4886,2499,1,1,-97.73769982,30.28605167
G48045300006031,Texas,Travis County,603,1,1056,661,0.62594697,395,7566.25,0,1,-97.74655029,30.2950608
G48045300006032,Texas,Travis County,603,2,2478,1113,0.449152542,1365,17656,1,1,-97.74892099,30.29101327
G48045300006033,Texas,Travis County,603,3,1791,833,0.465103294,958,2499,1,1,-97.74611103,30.28940141
G48045300006034,Texas,Travis County,603,4,1217,772,0.634346754,445,4823,0,1,-97.74298447,30.28919038
G48045300006035,Texas,Travis County,603,5,1712,1061,0.619742991,651,5287,0,1,-97.74291433,30.2926805
G48045300006041,Texas,Travis County,604,1,1274,841,0.660125589,433,7789.5,0,1,-97.75108159,30.28584333
G48045300006042,Texas,Travis County,604,2,3272,1407,0.430012225,1865,6818,1,1,-97.74334738,30.28499608
G48045300006043,Texas,Travis County,604,3,3002,1495,0.498001332,1507,8761,1,1,-97.74646356,30.28556801
G48045300007001,Texas,Travis County,700,1,1388,731,0.526657061,657,57708,0,1,-97.7411234,30.27770032
G48045300008011,Texas,Travis County,801,1,1794,657,0.366220736,1137,51944,1,1,-97.70148574,30.26695421
G48045300008021,Texas,Travis County,802,1,1520,934,0.614473684,586,97955,0,0,-97.70586106,30.27869493
G48045300008022,Texas,Travis County,802,2,1113,173,0.155435759,940,21585,1,1,-97.70383049,30.27435597
G48045300008023,Texas,Travis County,802,3,1159,213,0.18377912,946,59770,1,1,-97.71117777,30.27008142
G48045300008031,Texas,Travis County,803,1,1225,676,0.551836735,549,102237,0,0,-97.71304803,30.27835118
G48045300008032,Texas,Travis County,803,2,793,417,0.525851198,376,86250,0,0,-97.71855719,30.27692311
G48045300008033,Texas,Travis County,803,3,923,673,0.729144095,250,96316,0,0,-97.72607222,30.27576451
G48045300008041,Texas,Travis County,804,1,1138,389,0.341827768,749,42750,1,1,-97.71746159,30.26969684
G48045300008042,Texas,Travis County,804,2,1520,432,0.284210526,1088,42750,1,1,-97.72455795,30.27032124
G48045300009011,Texas,Travis County,901,1,797,364,0.456712673,433,73672,1,0,-97.71722162,30.2639172
G48045300009012,Texas,Travis County,901,2,1807,732,0.405091312,1075,103843,1,0,-97.72733543,30.26647844
G48045300009021,Texas,Travis County,902,1,1021,267,0.261508325,754,61300,1,1,-97.7067364,30.26092836
G48045300009022,Texas,Travis County,902,2,2014,828,0.411122145,1186,60100,1,1,-97.710619,30.25702425
G48045300009023,Texas,Travis County,902,3,1004,325,0.323705179,679,38750,1,1,-97.71782944,30.25683242
G48045300009024,Texas,Travis County,902,4,1542,635,0.411802853,907,80250,1,0,-97.72937144,30.26193933
G48045300010001,Texas,Travis County,1000,1,535,174,0.325233645,361,59097,1,1,-97.7339922,30.2579877
G48045300010002,Texas,Travis County,1000,2,684,437,0.638888889,247,96563,0,0,-97.72808376,30.25641412
G48045300010003,Texas,Travis County,1000,3,1275,637,0.499607843,638,105972,1,0,-97.71725179,30.25328069
G48045300010004,Texas,Travis County,1000,4,450,201,0.446666667,249,56852,1,1,-97.72202082,30.25020477
G48045300010005,Texas,Travis County,1000,5,589,249,0.422750424,340,26356,1,1,-97.7319454,30.25242278
G48045300011001,Texas,Travis County,1100,1,4992,4058,0.812900641,934,114115,0,0,-97.74314163,30.2685431
G48045300011002,Texas,Travis County,1100,2,2418,1849,0.764681555,569,163675,0,0,-97.73980531,30.25791601
G48045300012001,Texas,Travis County,1200,1,1074,793,0.738361266,281,37564,0,1,-97.76381576,30.27925345
G48045300012002,Texas,Travis County,1200,2,3974,3164,0.796175138,810,120469,0,0,-97.75942778,30.27198816
G48045300012003,Texas,Travis County,1200,3,809,618,0.763906057,191,64180,0,1,-97.75775564,30.2745143
G48045300013031,Texas,Travis County,1303,1,1833,1386,0.75613748,447,87436,0,0,-97.76212788,30.26288673
